Life,Angel,Doomblight Angel,Scourge,This creature's attacks deal 75% more damage and afflict the target with Weak.,Doomblight Claymore
Life,Angel,Firewound Angel,Pyre,This creature's attacks deal 75% more damage and afflict the target with Burning.,Firewound Claymore
Life,Angel,Goldblight Angel,Stasis,This creature's attacks deal 75% more damage and afflict the target with Confused.,Goldblight Claymore
Life,Angel,Icewound Angel,Rime,This creature's attacks deal 75% more damage and afflict the target with Frozen.,Icewound Claymore
Life,Angel,Imperial Angel,Black Hole Halo,This creature's attacks deal 75% more damage and afflict the target with Scorned.,Imperial Claymore
Life,Angel,Thunderwound Angel,Storm of the Century,"After this creature attacks, it casts Lightning Storm.",Thunderwound Claymore
Nether Boss,Angel,Judgement and Mercy,Final Act of Hatred,"When one of your creatures dies, each of their permanent Spell Gems has a 20% chance to be cast.",Claymore of Hatred
Nether Boss,Angel,Judgement and Mercy,Final Act of Judgment,"At the start of this creature's turn, it deals damage to enemies equal to 1% of their Current Health for every 0.5% of Health this creature is missing. The damage cannot exceed 35% of each creature's Current Health.",Claymore of Judgment
Nether Boss,Angel,Judgement and Mercy,Final Act of Mercy,"At the start of this creature's turn, it kills all enemies that are below 25% Health.",Claymore of Mercy
Rodian Master,Angel,Mastery Trait,Master of Angels,Your Angels' attacks apply all the debuffs that your other Angels' innate traits apply as well.,Sigil of the Angel
Sorcery,Animation,Brain Animation,Red Tether,"After an adjacent ally attacks, this creature attacks the enemy as well.  This trait does not work with creatures that also have this trait.",Red Shackle
Sorcery,Animation,Ear Animation,Green Tether,"After an adjacent ally heals a creature, this creature is healed for the same amount and gains a Barrier that absorbs damage equal to 100% of the amount healed.  This trait does not work with creatures that also have this trait.",Green Shackle
Sorcery,Animation,Eye Animation,Yellow Tether,"After this creature deals critical damage, its adjacent allies gain 30% attack and speed.  This creature always has Savage.",Yellow Shackle
Sorcery,Animation,Feet Animation,Blue Tether,"When an adjacent creature would take attack or spell damage, or gain a buff or debuff, this creature becomes the new target instead.",Blue Shackle
Sorcery,Animation,Hand Animation,Silver Tether,"After an adjacent creature is killed, this creature gains 60% of its stats (other than health).",Silver Shackle
Sorcery,Animation,Lip Animation,Purple Tether,"After an adjacent ally casts a spell, this creature casts that spell as well.  This trait does not work with creatures that also have this trait.",Purple Shackle
Rodian Master,Animation,Mastery Trait,Master of Animations,Your Animation creatures have a 50% chance to receive all effects that require them to be adjacent to your other creatures. This trait does not stack.,Sigil of the Animation
Death,Animatus,Animatus,Brilliant Creation,"This creature has 15% more attack and intelligence for each dead creature on your side, and 15% more defense and speed for each living creature on your side.",No Material Exists
Life,Apis,Apis Adolescent,Primed And Ready,"After an enemy casts a spell on all your creatures, this creature attacks it for 300% normal damage.",Adolescent Egg
Life,Apis,Apis Charger,Threshold,"After this creature attacks, it afflicts the target with Scorned and Disarmed.",Charger Headdress
Life,Apis,Apis Defender,Vigilance,This creature intercepts enemies' attacks on its allies.,Defender Headdress
Life,Apis,Apis Endurer,Long Live,This creature takes 2% less damage from attacks for every 1% health it is missing.,Endurer Headdress
Life,Apis,Apis Guardian,Grit,"At the start of battle, this creature's attack is added to its health and defense, then its attack is set to its minimum value.",Guardian Headdress
Life,Apis,Apis Majesty,Necessitarianism,"At the start of battle, this creature gains 100% attack, intelligence, defense, and speed.  This creature deals 70% less damage.",Majesty Headdress
Life,Apis,Apis Protector,Righteous Concession,This creature and the creatures adjacent to it are resistant to debuffs.,Protector Headdress
Life,Apis,Apis Warrior,Crunch,This creature's attacks deal 75% more damage and afflict the target with Vulnerable.,Warrior Headdress
Rodian Master,Apis,Mastery Trait,Master of Apises,"At the start of battle, your Apises gain the Long Live trait.",Sigil of the Apis
Chaos,Apocalypse,Aaxer Apocalypse,Urh Harbinger,"Your creatures have 15% more attack, intelligence, defense, and speed for each turn they've taken in the current battle. This trait does not stack.",Aaxer Sinew
Chaos,Apocalypse,Agor Apocalypse,Urdox Harbinger,Your creatures deal 50% more critical damage for each turn they've taken in the current battle. This trait does not stack.,Agor Sinew
Chaos,Apocalypse,Corox Apocalypse,Culmination,Your creatures' spells deal 5% more damage for each spell all your creatures have manually cast in the current battle. This trait does not stack.,Corox Sinew
Chaos,Apocalypse,Gorum Apocalypse,Quahn Harbinger,Your creatures have a 25% chance to prevent debuffs for each turn they've taken in the current battle. This trait does not stack.,Gorum Sinew
Chaos,Apocalypse,Inox Apocalypse,Naxor Harbinger,Your creatures deal 40% more damage for each turn they've taken in the current battle. This trait does not stack.,Inox SInew
Chaos,Apocalypse,Zarox Apocalypse,Mungus Harbinger,Your creatures take 10% less damage for each turn they've taken in the current battle. This trait does not stack.,Zarox Sinew
Chaos,Apocalypse,Zzyia Apocalypse,Phase Out,Your creatures have a 5% chance (up to 50%) to avoid damage for each turn they've taken in the current battle. This trait does not stack.,Zzyia Sinew
Nether Boss,Apocalypse,Scylla and Charybdis,Gift of Charybdis,"After your creatures die, they grant 25% of their Intelligence and Defense to all your creatures. This trait does not stack.",Charybdis' Trident
Nether Boss,Apocalypse,Scylla and Charybdis,Torn Between Scylla and Charybdis,"After your creatures die, they grant a copy of their innate trait to your other creatures.",Cloud Opal
Rodian Master,Apocalypse,Mastery Trait,Master of Apocalypses,Your Apocalypses act as if they take 1 additional turn. This trait does not stack.,Sigil of the Apocalypse
Nature,Arachnalisk,Ancient Arachnalisk,Consume,"When this creature attacks an enemy with Snared, it deals 150% more damage, recovers health equal to 100% of the damage dealt, and removes this debuff.",Ancient Mandible
Nature,Arachnalisk,Canopy Arachnalisk,Here to Die,"After an enemy is afflicted with either Bleeding or Poisoned, this creature afflicts them with whichever of these debuffs the target doesn't already have.",Canopy Mandible
Nature,Arachnalisk,Creeping Arachnalisk,Hopelessness,Enemies with Snared take 50% more damage. This trait does not stack.,Creeping Mandible
Nature,Arachnalisk,Dragonlair Arachnalisk,Numbing Venom,"After an enemy takes damage from Poisoned, they have a 50% chance to be afflicted with Snared. This trait does not stack.",Dragonlair Mandible
Nature,Arachnalisk,Goliath Arachnalisk,Entrapment,"After this creature is attacked, it afflicts the enemy with Snared.",Goliath Mandible
Nature,Arachnalisk,Razorweb Arachnalisk,Jagged Edges,"At the start of each creature's turn, enemies with Snared take damage equal to 10% of this creature's speed. This trait does not stack.",Razorweb Mandible
Nature,Arachnalisk,Spitting Arachnalisk,Spit Poison,"After this creature is attacked, it afflicts enemies with Poisoned.  If enemies already have this debuff, its potency is increased by 30% instead.",Spitting Mandible
Nature,Arachnalisk,Woolly Arachnalisk,Arachnophobia,"Enemies with Snared take 100% more damage from their Poisoned debuffs.  When they break free, they take damage equal to 5 turns of their Poisoned debuffs. This trait does not stack.",Woolly Mandible
Rodian Master,Arachnalisk,Mastery Trait,Master of Arachnalisks,Enemies take 20% more damage from Poisoned for each Arachnalisk fighting on your side. This trait does not stack.,Sigil of the Arachnalisk
Nature,Arbiter,Breathing Arbiter,In Favor of Protection,"After start-of-battle effects are determined, 40% of this creature's defense is added to that of your other creatures.",Durable Scales
Nature,Arbiter,Feeling Arbiter,In Favor of Destruction,"After start-of-battle effects are determined, 40% of this creature's attack is added to that of your other creatures.",Emoting Scales
Nature,Arbiter,Final Arbiter,In Favor of All,"After start-of-battle effects are determined, this creature's lowest stat is set equal to its highest stat.",Scaly Scales
Nature,Arbiter,Living Arbiter,In Favor of Survival,"After start-of-battle effects are determined, 40% of this creature's Maximum health is added to that of your other creatures.",Vital Scales
Nature,Arbiter,Moving Arbiter,In Favor of Escape,"After start-of-battle effects are determined, 40% of this creature's speed is added to that of your other creatures.",Swift Scales
Nature,Arbiter,Thinking Arbiter,In Favor of Creation,"After start-of-battle effects are determined, 40% of this creature's intelligence is added to that of your other creatures.",Brainy Scales
Rodian Master,Arbiter,Mastery Trait,Master of Arbiters,"If all the creatures in your party are Arbiters, their innate traits are 50% more powerful. This trait does not stack.",Sigil of the Arbiter
Nature,Aspect,Aspect of Change,Call of Evolution,"After this creature dodges an attack, it casts one of its spells.  In addition, this creature has an independent 50% chance to dodge attacks.",Change Figment
Death,Aspect,Aspect of Decay,Call of the Grave,"After this creatures dodges, enemies lose 20% of their highest stat.  In addition, this creature has an independent 50% chance to dodge attacks. This trait does not stack.",Decay Figment
Nature,Aspect,Aspect of Seasons,Call of the Aspect,"This creature has an independent 12% chance to dodge attacks for each different type of Aspect fighting on your side.  When it does, your Aspects gain 20% attack, intelligence, defense, and speed.",Seasons Figment
Nature,Aspect,Aspect of Time,Call of Time,"After this creature dodges an attack, it gains a Barrier that absorbs damage equal to 50% of its speed.  In addition, this creature has an independent 50% chance to dodge attacks.",Time Figment
Nature,Aspect,Autumn Aspect,Call of the Harvest,"Your creatures always have Agile.  In addition, this creature has an independent 50% chance to dodge attacks.",Autumn Figment
Nature,Aspect,Springtime Aspect,Call of the Bloom,"After this creature dodges, your creatures recover 30% health.  In addition, this creature has an independent 50% chance to dodge attacks.",Springtime Figment
Nature,Aspect,Summer Aspect,Call of the Solstice,"After this creature dodges, it attacks the enemy.  In addition, this creature has an independent 50% chance to dodge attacks.",Summer Figment
Nature,Aspect,Winter Aspect,Call of the Tundra,"After this creature dodges, it casts Snowstorm.  In addition, this creature has an independent 50% chance to dodge attacks.",Winter Figment
Nether Boss,Aspect,Aspect of Meraxis,Crown Prince Syndrome,"After this creature dodges or deals critical damage, it defends or provokes.",Whacking Stick
Nether Boss,Aspect,Aspect of Meraxis,Never Yield,"This creature always deals critical damage. At the start of this creature's turn, it defends and then its turn ends.",Signet of Unity
Nether Boss,Aspect,Aspect of Meraxis,Stand Alone Complex,"This creature always dodges attacks. At the start of this creature's turn, it provokes and then its turn ends.",Peacebloom
Rodian Master,Aspect,Mastery Trait,Master of Aspects,"Your Aspects have another 50% independent chance to dodge attacks. In addition, your Aspects take 25% less damage from all sources. This trait does not stack.",Sigil of the Aspect
Chaos,Asura,Asura Blooddrinker,Thirst For Blood,"After your creatures deal critical damage, they recover health equal to 100% of the damage dealt. This trait does not stack.",Blooddrinker Tattoo
Chaos,Asura,Asura Bonebreaker,Ferocity,Your creatures always have Savage and have a 25% greater chance to deal critical damage. This trait does not stack.,Bonebreaker Tattoo
Chaos,Asura,Asura Fleshstomper,Marked With Blood,"After your other creatures deal critical damage with attacks, this creature attacks the target.",Fleshstomper Tattoo
Chaos,Asura,Asura Gutslasher,Sidewinder,"After this creature deals critical damage, it has a 75% chance to attack again.",Gutslasher Tattoo
Chaos,Asura,Asura Heartripper,Pummel,This creature deals 200% additional critical damage.,Heartripper Tattoo
Chaos,Asura,Asura Strangler,Lacerate,"After your creatures deal critical damage, this creature afflicts the target with Silenced and Bleeding.",Strangler Tattoo
Chaos,Asura,Zantai,Quadhits,"When this creature attacks, it attacks a total of 4 times for 30% normal damage.  It has a 10% chance to kill the target each time it deals Critical damage.",Zantai Tattoo
Rodian Master,Asura,Mastery Trait,Master of Asuras,Your Asuras' on-critical effects activate 2 additional times. This trait does not stack.,Sigil of the Asura
Sorcery,Automaton,Ancient Automaton,Momentum,"At the start of this creature's turn, it reduces the enemies' speed by 15% of this creature's speed.",Ancient Gear
Sorcery,Automaton,Arcane Automaton,Motivation,"At the start of this creature's turn, it reduces the enemies' attack by 15% of this creature's attack.",Arcane Gear
Sorcery,Automaton,Cursed Automaton,Euphoria,"At the start of this creature's turn, it reduces the enemies' intelligence by 15% of this creature's intelligence.",Cursed Gear
Sorcery,Automaton,Decrepit Automaton,Instigation,"At the start of this creature's turn, it reduces the enemies' defense by 15% of this creature's defense.",Decrepit Gear
Sorcery,Automaton,Luxury Automaton,Pandemic,"At the start of this creature's turn, it afflicts enemies with a random debuff.",Luxury Gear
Sorcery,Automaton,Siege Automaton,Battle From Within,"At the start of this creature's turn, it deals damage to enemies equal to 25% of its missing health.",Siege Gear
Sorcery,Automaton,War Automaton,Downturn,"At the start of this creature's turn, it removes 1 buff from each enemy.",War Gear
Rodian Master,Automaton,Mastery Trait,Master of Automatons,"If all the creatures in your party are Automatons, the strength of their innate traits is doubled. This trait does not stack.",Sigil of the Automaton
Chaos,Avatar,4080,Robotic Armor,"Your creatures are resistant to debuffs.  After your creatures are afflicted with a debuff, they have a 50% chance to gain Immunity. This trait does not stack.",No Material Exists
Sorcery,Avatar,Aeolian,Periphery,"Your creatures always dodge attacks and deal critical damage, but take 50% more damage. This trait does not stack.",No Material Exists
Death,Avatar,Alexandria,Boundless Creativity,"After a creature gains or loses stats, its allies gain or lose 25% of those stats as well. This trait does not stack.",No Material Exists
Nature,Avatar,Anneltha,Grandiose,"At the end of your creatures' turns, their turn counter increases by 3 additional turns.  In addition, your creatures act as if they have 3 more buffs, debuffs, and minions than they actually have. This trait does not stack.",No Material Exists
Nature,Avatar,Apocranox,Trick Shot,"After this creature attacks, it casts 3 of its equipped Arrow spells.",No Material Exists
Nature,Avatar,Ariamaki,Twilight Zone,"Enemies deal damage with attacks and spells using their lowest stat, rather than their attack or intelligence.  In addition, enemies take damage from attacks and spells based on their lowest stat, rather than defense.",No Material Exists
Sorcery,Avatar,Aurum,Pandora,"Your creatures can equip all Spell Gems, regardless of their class.  After your creatures manually cast a spell, they also cast a random spell from their Spell Gem list from each other class.",No Material Exists
Sorcery,Avatar,Azural,Wintermaul,"At the start of this creature's turn, it casts Snowstorm.  After your creatures attack a Frozen enemy, they cast Shatter on it. This trait does not stack.",No Material Exists
Chaos,Avatar,Caliban,The Nether,"At the start of your other creatures' turns, this creature performs an action depending on that creature's class.  Chaos - Attack a random enemy.  Death - Enemies are afflicted with a random debuff.  Life - Your creatures gain a random buff.  Nature - Your creatures gain 10% stats.  Sorcery - Cast one of their Spell Gems. This trait does not stack.",No Material Exists
Death,Avatar,Erebyss,Avenged Sevenfold,"After your creatures take damage from an attack or spell, they cast a Scourge spell on the enemy.  The type of Scourge spell is based on the enemy's class. This trait does not stack.",No Material Exists
Death,Avatar,Friden,The Black,"Enemies always have Poisoned, Blighted, Leeching, and Mending.",No Material Exists
Chaos,Avatar,Genaros,Surge of Vitality,"After your creatures attack or are attacked, they gain 20% Maximum health. This trait does not stack.",No Material Exists
Chaos,Avatar,Gonfurian,Eraser,"After your creatures attack, they reduce the target's Maximum health by the same amount of damage dealt. This trait does not stack.",No Material Exists
Life,Avatar,Lister,Perfect Imperfection,"Your creatures deal 40% more damage and take 10% less damage (up to 90%) for each turn they've taken in the current battle.  At the start of battle, your creatures gain the Timewalk spell. This trait does not stack.",No Material Exists
Nature,Avatar,Meraxis,Marigold,Your creatures' stats gained in battle are no longer subject to diminishing returns.,No Material Exists
Death,Avatar,Mortem,Blood Pact,Your creatures deal additional damage with attacks and spells equal to 5% of all the damage your creatures have dealt in the current battle. This trait does not stack.,No Material Exists
Life,Avatar,Muse,"Better, Faster, Stronger","Your creatures' minions perform their effects twice.  If they don't have an effect that can be repeated, they are instead 100% more powerful.  This trait does not affect Illusion or any Demon minions. This trait does not stack.",No Material Exists
Life,Avatar,Perdition,Euthanasia,"After this creature damages an enemy below 50% health, it casts Death Siphon on it.",No Material Exists
Death,Avatar,Reclusa,Speculation,"When your creatures attack or cast a spell, they have a 100% chance to do so 1 additional time.  This effect can occur repeatedly, but the chance decreases by a multiplicative 25% each time. This trait does not stack.",No Material Exists
Nature,Avatar,Regalis,Brothel,"At the start of battle, your other creatures with the same class as this creature share their innate trait with the creatures adjacent to them. This trait does not stack.",No Material Exists
Life,Avatar,Shallan,Fae Dust,Your creatures deal 5% more damage with attacks and spells and take 5% less damage for each time they've attacked or cast a spell in the current battle. This trait does not stack.,No Material Exists
Life,Avatar,Surathli,Prayer Position,"At the end of your creatures' turns, they defend.  Your creatures take 90% less damage while they're defending. This trait does not stack.",No Material Exists
Sorcery,Avatar,T'mere M'rgo,Gemcutter,Your creatures' Ultimate Spell Gems cannot be Sealed and do not consume charges.  Your creatures are immune to Silenced.,No Material Exists
Chaos,Avatar,Tartarith,The End,"At the end of each enemy's turn, this creature deals damage to it equal to 40% of this creature's highest stat. This trait does not stack.",No Material Exists
Sorcery,Avatar,Tenebris,Lingering Essence,This creature takes 18% less damage for each of its living allies.  This trait does not work if another creature has this trait.,No Material Exists
Nature,Avatar,Torun,I HATE YOU !@#$ING ALL,"AT THE END OF YOUR CREATURES' TURNS, THEY'LL SAY A LOT OF !@#$ED UP !@#$ TO THE ENEMIES.  SINCE YOUR ENEMIES HAVE THE EMOTIONAL FORTITUDE OF A PIKACHU, THEY'LL CRY LIKE A BUNCH OF !@#$%ES AND DEAL 90% LESS DAMAGE. This trait does not stack, WHATEVER THE !@#$ THAT MEANS.",No Material Exists
Chaos,Avatar,Venedon,Soul Reaver,"After this creature damages an enemy, it steals their buffs and minions and gives them its debuffs.  In addition, your creatures' buffs and minions last forever, and enemies' debuffs last forever.",No Material Exists
Death,Avatar,Vertraag,Lune,"After your creatures manually cast a spell, they also cast a random, powerful spell. This trait does not stack.",No Material Exists
Chaos,Avatar,Vulcanar,Firelord,"When your creatures attack, they deal 20% more damage for each time they've attacked in the current battle. This trait does not stack.",No Material Exists
Life,Avatar,Yseros,The Truth,"Your creatures' Artifacts' Nether Stones are 100% more powerful, and their Nether Stones' Spell Gems have a 100% chance to activate. This trait does not stack.",No Material Exists
Sorcery,Avatar,Zonte,Expanded Power,"Your creatures' damaging spells that have ""small"", ""moderate"", or ""large"" potency now have ""massive"" potency.",No Material Exists
Backer,Backer,Backer Trait,Abyss Orbs,"If an enemy has taken at least 2 turns, they are afflicted with a random debuff at the start and end of their turn. This trait does not stack.",Dark Stick
Backer,Backer,Backer Trait,Adaptive Tactics,Your creatures' attacks ignore 5% of the enemies' Defense (up to 50%) for each time a creature died in the current battle. This trait does not stack.,Weapon Kit
Backer,Backer,Backer Trait,Alchemist's Buffer,This creature takes 50% less damage from spells and 50% more damage from attacks. This creature has 50% more Intelligence and 50% less Attack.,Corruptium
Backer,Backer,Backer Trait,Anatidaephobia,All creatures' attacks make a quacking sound.,Rubber Ducky
Backer,Backer,Backer Trait,Anointed,"After this creature attacks, it gains 20% Speed.",Prismatic Feather
Backer,Backer,Backer Trait,Anti-Magic Field,Your creatures have a 35% chance to avoid debuffs. This trait does not stack.,Vexting Salt
Backer,Backer,Backer Trait,Arcane Echo,"After your creatures manually cast a spell, they cast a random spell from the same class.",Arcane Puzzle
Backer,Backer,Backer Trait,At Peace,"After your creatures are resurrected, they gain a Barrier equal to 100% of the amount of Health they resurrected with. This trait does not stack.",Angelic Tears
Backer,Backer,Backer Trait,Aura Boost,Increases the effectiveness of this creature's first Stat Slot by 400%.,Mathematics Textbook
Backer,Backer,Backer Trait,Bloodletting,"After an enemy takes damage from Bleeding, your creatures have a 35% chance to be resurrected with 50% Health. This trait does not stack.",Ruby Dagger
Backer,Backer,Backer Trait,Bonding,"After your creatures are killed, they have a 7% chance to be resurrected with 50% Health for each creature that belongs to the same class fighting on your side. This trait does not stack.",Soul Stones
Backer,Backer,Backer Trait,Boss Powers,"At the start of battle, your creatures gain 50% Maximum Health. Your creatures take 50% more damage. This trait does not stack.",Obvious Weak Spot
Backer,Backer,Backer Trait,Celestial Nexus,"While this creature has Barrier or Shelled, it takes damage from attacks and spells in place of your other creatures. This trait does not stack.",Celestial Map
Backer,Backer,Backer Trait,Chaotic Disposition,"After an enemy is afflicted with a debuff, this creature has a 10% chance to cast Debilitating Blast.",Sickly Toad's Stool
Backer,Backer,Backer Trait,Charging Rod,"After your creatures manually cast a spell, its Spell Gems have a 30% chance to gain 1 Charge. This trait does not stack.",Cold Iron Needle
Backer,Backer,Backer Trait,Consecrated Ground,This creature and its adjacent allies are immune to damage from minions and take 35% less indirect damage. This trait does not stack.,Sacred Mace
Backer,Backer,Backer Trait,Conspiracy Theory,"After you defeat a Treasure Golem, your creatures gain several bonuses for the rest of the time you're in that Realm. This trait does not stack.",Broken Thermometer
Backer,Backer,Backer Trait,Coward's Embrace,"Your creatures have a 50% independent chance to dodge, but they can't deal critical damage. This trait does not stack.",Crystallized Cowardice
Backer,Backer,Backer Trait,Dead of Winter,"After an enemy afflicts a debuff, it is afflicted with Frozen and Poisoned.",Alchemical Frost
Backer,Backer,Backer Trait,Deep Roots,"When this creature takes damage from a creature that belongs to its class, it has a 75% chance to avoid that damage.",Ancient Soulsoil
Backer,Backer,Backer Trait,Determination,"After an ally is killed, this creature gains 50% Defense.",Gold Star of Courage
Backer,Backer,Backer Trait,Dragon's Rage,"At the start of this creature's turn, it casts Fireball.",Draco Rubies
Backer,Backer,Backer Trait,Dualcast,"At the start of this creature's turn, it casts the most recent spell it cast again.",Ring of Echoes
Backer,Backer,Backer Trait,Eldritch Rune,"At the start of battle, this creature's Maximum Health is set to 50%. This creature's spells are 100% more potent.",Tome of Eldritch Knowledge
Backer,Backer,Backer Trait,Ember Soul,"While this creature has Burning, it has 75% more Attack and Speed.",Souls of the Ineffable
Backer,Backer,Backer Trait,Embiggening,This creature gains 100% more stats.,Pulsing Stone
Backer,Backer,Backer Trait,Emerald Blessings,This creature gives and receives 150% more healing.,Emerald Tide Scrap
Backer,Backer,Backer Trait,Erratic,"At the start of battle, one of your creatures is chosen to have 150% more stats (other than Health) for the rest of the battle.",Strange Smoke
Backer,Backer,Backer Trait,Excruciating Venom,"After this creature attacks an enemy with Poisoned, it gains Attack equal to 50% of the potency of this debuff.",Venomous Stinger
Backer,Backer,Backer Trait,Firedevil's Will,Your creatures are immune to Burning and enemies take 50% more damage from this debuff. This trait does not stack.,Firedevil's Tears
Backer,Backer,Backer Trait,Flash Barrier,This creature takes 90% less damage until the start of its first turn.,Barrier Parts
Backer,Backer,Backer Trait,Flower Power,"At the start of battle, your creatures gain 3 random Nature Spell Gems. This trait does not stack.",Weeds and Seeds
Backer,Backer,Backer Trait,Forced Momentum,"At the start of your creatures' turns, they have a 35% chance to gain a random trait. This trait does not stack.",Cursed Scope
